Disease,Description,ICD10,Symptoms,Severity,Tests,Treatments,Comorbidities,SymptomOnset,DemographicRisks,MockImageFindings
Hypertension,Chronic elevation of blood pressure,I10,Headache;Dizziness;Blurred vision,Moderate,Blood pressure measurement;Blood tests,Lifestyle changes;Antihypertensive medications,Heart disease;Kidney disease,Gradual,Adults over 40;Family history,Normal
Type 2 Diabetes,Metabolic disorder with high blood sugar,E11,Increased thirst;Frequent urination;Fatigue,Severe,Blood glucose test;HbA1c test,Insulin therapy;Diet modification,Obesity;Hypertension,Gradual,Adults over 40;Obese individuals,Normal
Asthma,Chronic inflammatory airway disease,J45,Shortness of breath;Wheezing;Cough,Mild-Significant,Spirometry;Allergy tests,Inhaled corticosteroids;Bronchodilators,Allergic rhinitis;Eczema,Acute;Chronic,Children;Allergy-prone adults,Normal
COPD,Progressive lung disease with airflow obstruction,J44,Chronic cough;Shortness of breath;Wheezing,Severe,Spirometry;Chest X-ray,Smoking cessation;Bronchodilators;Steroids,Heart disease;Lung infections,Gradual,Smokers;Older adults,Hyperinflated lungs
Lung Cancer,Malignant lung tumor,C34,Coughing up blood;Chest pain;Weight loss,Critical,Chest X-ray;CT scan;Biopsy,Surgery;Chemotherapy;Radiation therapy,Smoking;COPD,Gradual,Smokers;Older adults,Nodule or mass
Chronic Obstructive Pulmonary Disease (COPD),Progressive lung disease causing airflow obstruction,J44,Chronic cough;Sputum production;Shortness of breath,Moderate-Severe,Spirometry;Chest X-ray,Inhaled bronchodilators;Oxygen therapy,Smoking;Heart disease,Chronic,Adults over 50;Smokers,Hyperinflated lungs on X-ray
Acute Myocardial Infarction,Heart attack due to blocked coronary arteries,I21,Severe chest pain;Shortness of breath;Sweating,Critical,ECG;Cardiac enzymes,PCI;Thrombolytics,Hypertension;Diabetes,Acute,Adults over 40;Smokers,ST-elevation on ECG
Stroke (Ischemic),Blockage of cerebral artery,I63,Sudden weakness;Facial droop;Speech difficulty,Critical,CT/MRI Brain,Thrombolysis;Antiplatelets,Hypertension;Diabetes,Acute,Adults over 50;Atrial fibrillation,Ischemic changes on CT
Stroke (Hemorrhagic),Rupture of cerebral blood vessel,I61,Severe headache;Vomiting;Loss of consciousness,Critical,CT/MRI Brain,Surgical intervention;Blood pressure control,Hypertension;Aneurysm,Acute,Adults over 40;Hypertensives,Intracerebral bleed on CT
Pneumonia,Infection of lung tissue,J18,Fever;Cough;Shortness of breath,Moderate-Severe,Chest X-ray;Blood cultures,Antibiotics;Oxygen therapy,Asthma;COPD,Acute,Children;Elderly,Consolidation on X-ray
Tuberculosis,Bacterial infection affecting lungs,A15,Chronic cough;Night sweats;Weight loss,Severe,Sputum culture;Chest X-ray,Antitubercular therapy,HIV;Malnutrition,Gradual,Adults;Immunocompromised,Cavitary lesions on X-ray
Chronic Kidney Disease,Gradual loss of kidney function,N18,Fatigue;Swelling;Frequent urination,Moderate-Severe,Blood tests;Urine tests,Dialysis;Lifestyle modification,Hypertension;Diabetes,Chronic,Adults over 50;Diabetics,Small kidneys on Ultrasound
Alzheimer’s Disease,Neurodegenerative disorder,G30,Memory loss;Confusion;Mood changes,Severe,Neuropsychological testing;MRI,Supportive care;Medications,Age;Family history,Gradual,Elderly,MRI shows hippocampal atrophy
Parkinson’s Disease,Progressive movement disorder,G20,Tremor;Rigidity;Bradykinesia,Moderate-Severe,Neurological exam;DaTscan,Levodopa;Deep brain stimulation,Age;Genetic predisposition,Gradual,Older adults,MRI may show substantia nigra changes
Rheumatoid Arthritis,Autoimmune joint disease,M06,Joint pain;Swelling;Morning stiffness,Moderate-Severe,Blood tests;X-rays,DMARDs;Biologics,Other autoimmune diseases,Chronic,Adults;Female predominance,X-ray shows joint erosions
Osteoarthritis,Degenerative joint disease,M15-M19,Joint pain;Stiffness;Limited mobility,Mild-Moderate,X-ray,Physiotherapy;NSAIDs,Obesity;Prior joint injury,Gradual,Elderly,X-ray shows joint space narrowing
Systemic Lupus Erythematosus,Autoimmune multisystem disease,M32,Fatigue;Rash;Joint pain,Moderate-Severe,Blood tests;Urine tests,Immunosuppressants,Other autoimmune disorders,Gradual,Women of childbearing age,Butterfly rash on face
Multiple Sclerosis,Autoimmune CNS disorder,G35,Weakness;Visual disturbances;Numbness,Moderate-Severe,MRI Brain;CSF analysis,Disease-modifying therapy,Autoimmune conditions,Relapsing,Young adults,MRI shows demyelinating plaques
HIV Infection,Viral infection affecting immune system,B20,Fever;Weight loss;Night sweats,Severe,Blood tests;Viral load,ART,Hepatitis B/C,Gradual,Adults;High-risk behavior,Reduced CD4 count
Hepatitis B,Viral liver infection,B16,Fatigue;Jaundice;Abdominal pain,Moderate-Severe,Blood tests;Liver function tests,Antivirals,HIV;Other liver diseases,Acute/Chronic,Adults;Unvaccinated,Elevated liver enzymes
Hepatitis C,Viral liver infection,B17-B18,Fatigue;Jaundice;Dark urine,Moderate-Severe,Blood tests;PCR,Antivirals,Alcohol use;HIV,Acute/Chronic,Adults;IV drug users,Elevated liver enzymes
Cirrhosis,Chronic liver damage,K74,Fatigue;Abdominal swelling;Jaundice,Severe,Blood tests;Ultrasound,Liver transplant;Medications,Hepatitis B/C;Alcoholism,Gradual,Adults;Chronic alcohol users,Shrunken liver on Ultrasound
Gastroesophageal Reflux Disease,Stomach acid reflux,K21,Heartburn;Regurgitation;Cough,Mild-Moderate,Endoscopy;pH monitoring,Lifestyle changes;PPIs,Obesity;Hiatal hernia,Chronic,Adults,Esophagitis on Endoscopy
Peptic Ulcer Disease,Stomach or duodenal ulcers,K25-K27,Abdominal pain;Nausea;Vomiting,Moderate,Blood tests;Endoscopy,PPIs;H. pylori eradication,H. pylori infection;NSAID use,Acute/Chronic,Adults,Ulcer on Endoscopy
Cholelithiasis,Gallstones,K80,Right upper quadrant pain;Nausea;Indigestion,Moderate,Ultrasound,Surgery;Medications,Obesity;Female sex,Acute/Chronic,Adults,Ultrasound shows gallstones
Cholecystitis,Inflammation of gallbladder,K81,Right upper quadrant pain;Fever;Nausea,Moderate-Severe,Ultrasound;Blood tests,Surgery;Antibiotics,Gallstones,Acute,Adults,Thickened gallbladder wall on Ultrasound
Pancreatitis,Inflammation of pancreas,K85,K86,Abdominal pain;Nausea;Vomiting,Severe,Blood tests;CT Scan,Supportive care;Surgery,Alcohol use;Gallstones,Acute/Chronic,Adults;Enlarged pancreas on CT
Type 1 Diabetes,Autoimmune beta-cell destruction,E10,Polyuria;Polydipsia;Weight loss,Severe,Blood glucose;C-peptide,Insulin therapy,Other autoimmune diseases,Acute/Chronic,Children/Adolescents,Normal
Hyperthyroidism,Excess thyroid hormone,E05,Weight loss;Palpitations;Heat intolerance,Moderate,Blood tests;Ultrasound,Antithyroid medications;Radioiodine,Graves’ disease;Female sex,Gradual,Adults;Women of childbearing age,Enlarged thyroid on US
Hypothyroidism,Low thyroid hormone,E03,Fatigue;Weight gain;Cold intolerance,Mild-Moderate,Blood tests,Levothyroxine,Hashimoto’s;Female sex,Gradual,Adults;Women,Atrophic thyroid on US
Celiac Disease,Gluten-induced autoimmune enteropathy,K90,Diarrhea;Abdominal pain;Weight loss,Mild-Moderate,Blood tests;Endoscopy,Gluten-free diet,Type 1 diabetes;Autoimmune thyroid,Gradual,Children/Adults,Flattened villi on biopsy
Inflammatory Bowel Disease (Crohn’s),Chronic intestinal inflammation,K50,Abdominal pain;Diarrhea;Fatigue,Moderate-Severe,Colonoscopy;Blood tests,Immunosuppressants;Biologics,Autoimmune conditions,Gradual,Young adults,Segmental bowel thickening on imaging
Inflammatory Bowel Disease (Ulcerative Colitis),Chronic colon inflammation,K51,Diarrhea;Bloody stools;Abdominal pain,Moderate-Severe,Colonoscopy;Blood tests,Immunosuppressants;Biologics,Primary sclerosing cholangitis,Gradual,Young adults,Continuous colonic involvement on colonoscopy
Irritable Bowel Syndrome,Functional GI disorder,K58,Abdominal pain;Bloating;Altered bowel habits,Mild-Moderate,Clinical diagnosis,Lifestyle changes;Dietary management,Anxiety;Depression,Chronic,Adults,Normal
Gastroenteritis,Acute intestinal infection,K52,Diarrhea;Vomiting;Abdominal cramps,Mild-Moderate,Stool cultures;Blood tests,Hydration;Antibiotics (if bacterial),None,Acute,All ages,Normal
