Disease,Stage,Severity,Age_Group,Organ_System,Symptom,Notes
Common Cold,Early,Mild,All,Respiratory,Nasal congestion,Self-limiting viral infection
Common Cold,Early,Mild,All,Respiratory,Sore throat,Usually resolves in 7-10 days
Common Cold,Early,Mild,All,Respiratory,Cough,Non-productive;mild irritation
Influenza,Early,Mild-Moderate,All,Respiratory,Fever,Sudden onset; may reach 102°F
Influenza,Early,Mild-Moderate,All,Respiratory,Cough,Dry or productive
Influenza,Early,Mild-Moderate,All,Respiratory, Myalgia,Muscle aches; body pains
Influenza,Early,Mild-Moderate,All,Respiratory,Fatigue,Can last 2 weeks
Influenza,Progressive,Severe,All,Respiratory,Shortness of breath,May indicate pneumonia
Influenza,Progressive,Severe,All,Respiratory,Chest pain,Due to severe cough or secondary infection
Pneumonia,Early,Moderate,Adult,Respiratory,Fever,High-grade;often >101°F
Pneumonia,Early,Moderate,Adult,Respiratory,Cough,Productive with yellow/green sputum
Pneumonia,Early,Moderate,Adult,Respiratory,Chills,Rigors may occur
Pneumonia,Progressive,Severe,Adult,Respiratory,Shortness of breath,Severe dyspnea
Pneumonia,Progressive,Severe,Adult,Respiratory,Chest pain,Pleuritic
Tuberculosis,Early,Mild,Adult,Respiratory,Chronic cough,>3 weeks
Tuberculosis,Early,Mild,Adult,Respiratory,Fatigue,Gradual onset
Tuberculosis,Progressive,Severe,Adult,Respiratory,Weight loss,Cachexia in advanced cases
Tuberculosis,Progressive,Severe,Adult,Respiratory,Night sweats,Profuse
Asthma,Early,Mild,All,Respiratory,Wheezing,Triggered by allergens
Asthma,Early,Mild,All,Respiratory,Shortness of breath,Mild intermittent
Asthma,Progressive,Severe,All,Respiratory,Chest tightness,Continuous in exacerbation
Asthma,Progressive,Severe,All,Respiratory,Cough (esp. at night),Worse during sleep
COPD,Early,Moderate,Adult,Respiratory,Chronic cough,With sputum production
COPD,Progressive,Severe,Adult,Respiratory,Shortness of breath,Exertional progressing to rest
