2025-10-10 20:05:23 | INFO     | utils.logging_config:setup_logging:60 | Logging configured successfully
2025-10-10 20:05:23 | INFO     | utils.logging_config:setup_logging:61 | Environment: development
2025-10-10 20:05:23 | INFO     | utils.logging_config:setup_logging:62 | Log level: INFO
2025-10-10 20:05:23 | INFO     | app:lifespan:72 | Initializing AI components...
2025-10-10 20:05:23 | INFO     | ai_engine.knowledge_graph:load_datasets:93 | Loaded dataset: data\datasets\diseases.csv (59 records)
2025-10-10 20:05:23 | WARNING  | ai_engine.knowledge_graph:load_datasets:77 | Dataset not found: data\datasets\diseases.json
2025-10-10 20:05:23 | INFO     | ai_engine.knowledge_graph:load_datasets:106 | Merged 1 datasets: 59 total records
2025-10-10 20:05:23 | INFO     | ai_engine.knowledge_graph:_process_medical_data:169 | Processed 44 diseases with 183 unique symptoms
2025-10-10 20:05:23 | INFO     | ai_engine.knowledge_graph:__init__:62 | Knowledge Graph initialized: 44 diseases, 183 symptoms
2025-10-10 20:09:43 | INFO     | utils.logging_config:setup_logging:60 | Logging configured successfully
2025-10-10 20:09:43 | INFO     | utils.logging_config:setup_logging:61 | Environment: development
2025-10-10 20:09:43 | INFO     | utils.logging_config:setup_logging:62 | Log level: INFO
2025-10-10 20:09:43 | INFO     | app:lifespan:72 | Initializing AI components...
2025-10-10 20:09:43 | INFO     | ai_engine.knowledge_graph:load_datasets:93 | Loaded dataset: data\datasets\diseases.csv (59 records)
2025-10-10 20:09:43 | WARNING  | ai_engine.knowledge_graph:load_datasets:77 | Dataset not found: data\datasets\diseases.json
2025-10-10 20:09:43 | INFO     | ai_engine.knowledge_graph:load_datasets:106 | Merged 1 datasets: 59 total records
2025-10-10 20:09:43 | INFO     | ai_engine.knowledge_graph:_process_medical_data:169 | Processed 44 diseases with 183 unique symptoms
2025-10-10 20:09:43 | INFO     | ai_engine.knowledge_graph:__init__:62 | Knowledge Graph initialized: 44 diseases, 183 symptoms
2025-10-10 20:13:03 | INFO     | ai_engine.image_classifier:_initialize_models:73 | Loaded 3 medical imaging models
2025-10-10 20:13:03 | INFO     | ai_engine.image_classifier:__init__:46 | Image Classifier initialized on cpu
2025-10-10 20:13:03 | INFO     | ai_engine.nlp_processor:__init__:35 | Clinical NLP Processor initialized
2025-10-10 20:13:04 | INFO     | ai_engine.llm_interface:__init__:43 | Grok LLM Interface initialized (model: grok-2-1212)
2025-10-10 20:16:19 | INFO     | ai_engine.rag_engine:_load_and_index_dataset:21 | Loading dataset from data\datasets\diseases.csv
2025-10-10 20:16:55 | INFO     | utils.logging_config:setup_logging:60 | Logging configured successfully
2025-10-10 20:16:55 | INFO     | utils.logging_config:setup_logging:61 | Environment: development
2025-10-10 20:16:55 | INFO     | utils.logging_config:setup_logging:62 | Log level: INFO
2025-10-10 20:16:55 | INFO     | app:lifespan:72 | Initializing AI components...
2025-10-10 20:16:55 | INFO     | ai_engine.knowledge_graph:load_datasets:93 | Loaded dataset: data\datasets\diseases.csv (59 records)
2025-10-10 20:16:55 | WARNING  | ai_engine.knowledge_graph:load_datasets:77 | Dataset not found: data\datasets\diseases.json
2025-10-10 20:16:55 | INFO     | ai_engine.knowledge_graph:load_datasets:106 | Merged 1 datasets: 59 total records
2025-10-10 20:16:55 | INFO     | ai_engine.knowledge_graph:_process_medical_data:169 | Processed 44 diseases with 183 unique symptoms
2025-10-10 20:16:55 | INFO     | ai_engine.knowledge_graph:__init__:62 | Knowledge Graph initialized: 44 diseases, 183 symptoms
2025-10-10 20:16:56 | INFO     | ai_engine.image_classifier:_initialize_models:73 | Loaded 3 medical imaging models
2025-10-10 20:16:56 | INFO     | ai_engine.image_classifier:__init__:46 | Image Classifier initialized on cpu
2025-10-10 20:16:56 | INFO     | ai_engine.nlp_processor:__init__:35 | Clinical NLP Processor initialized
2025-10-10 20:16:57 | INFO     | ai_engine.llm_interface:__init__:43 | Grok LLM Interface initialized (model: grok-2-1212)
2025-10-10 20:17:12 | INFO     | ai_engine.rag_engine:_load_and_index_dataset:21 | Loading dataset from data\datasets\diseases.csv
2025-10-10 20:20:08 | INFO     | utils.logging_config:setup_logging:60 | Logging configured successfully
2025-10-10 20:20:08 | INFO     | utils.logging_config:setup_logging:61 | Environment: development
2025-10-10 20:20:08 | INFO     | utils.logging_config:setup_logging:62 | Log level: INFO
2025-10-10 20:20:08 | INFO     | app:lifespan:72 | Initializing AI components...
2025-10-10 20:20:08 | INFO     | ai_engine.knowledge_graph:load_datasets:93 | Loaded dataset: data\datasets\diseases.csv (59 records)
2025-10-10 20:20:08 | WARNING  | ai_engine.knowledge_graph:load_datasets:77 | Dataset not found: data\datasets\diseases.json
2025-10-10 20:20:08 | INFO     | ai_engine.knowledge_graph:load_datasets:106 | Merged 1 datasets: 59 total records
2025-10-10 20:20:08 | INFO     | ai_engine.knowledge_graph:_process_medical_data:169 | Processed 44 diseases with 183 unique symptoms
2025-10-10 20:20:08 | INFO     | ai_engine.knowledge_graph:__init__:62 | Knowledge Graph initialized: 44 diseases, 183 symptoms
2025-10-10 20:20:09 | INFO     | ai_engine.image_classifier:_initialize_models:73 | Loaded 3 medical imaging models
2025-10-10 20:20:09 | INFO     | ai_engine.image_classifier:__init__:46 | Image Classifier initialized on cpu
2025-10-10 20:20:09 | INFO     | ai_engine.nlp_processor:__init__:35 | Clinical NLP Processor initialized
2025-10-10 20:20:10 | INFO     | ai_engine.llm_interface:__init__:43 | Grok LLM Interface initialized (model: grok-2-1212)
2025-10-10 20:20:21 | INFO     | ai_engine.rag_engine:_load_and_index_dataset:21 | Loading dataset from data\datasets\diseases.csv
2025-10-10 20:20:48 | INFO     | utils.logging_config:setup_logging:60 | Logging configured successfully
2025-10-10 20:20:48 | INFO     | utils.logging_config:setup_logging:61 | Environment: development
2025-10-10 20:20:48 | INFO     | utils.logging_config:setup_logging:62 | Log level: INFO
2025-10-10 20:20:48 | INFO     | app:lifespan:72 | Initializing AI components...
2025-10-10 20:20:48 | INFO     | ai_engine.knowledge_graph:load_datasets:93 | Loaded dataset: data\datasets\diseases.csv (59 records)
