Disease,Stage,Symptoms
COVID-19,None,Fever;Cough;Fatigue;Loss of taste;Loss of smell;Sore throat;Shortness of breath;Chest pain
Pneumonia,None,Cough;Fever;Chills;Shortness of breath;Chest pain;Fatigue
Tuberculosis,None,Chronic cough;Hemoptysis (coughing blood);Night sweats;Weight loss;Fever;Fatigue
Asthma,None,Wheezing;Shortness of breath;Chest tightness;Cough (esp. at night);Exercise-induced breathlessness
COPD,None,Chronic cough;Sputum production;Shortness of breath;Wheezing;Fatigue
Lung Cancer,Stage 1,Persistent cough;Localized chest pain;Shortness of breath;Unexplained weight loss
Lung Cancer,Stage 2,Coughing up blood;Worsened breathlessness;Chest/shoulder pain;Hoarseness
Lung Cancer,Stage 3,Severe persistent cough;Chest pain;Dyspnea;Recurrent infections;Weight loss
Lung Cancer,Stage 4,Metastatic pain (bone/headache);Severe weight loss;Neurologic symptoms;Respiratory failure
Breast Cancer,Stage 1,Painless lump;Localized swelling;Mild nipple changes
Breast Cancer,Stage 2,Nipple retraction;Skin dimpling;Enlarged lymph nodes
Breast Cancer,Stage 3,Nipple discharge;Skin ulceration;Fixed mass
Breast Cancer,Stage 4,Metastatic pain (bone, liver);Breathing difficulty;Weight loss
Diabetes Mellitus (Type 2),None,Polyuria;Polydipsia;Polyphagia;Fatigue;Blurred vision;Slow wound healing;Tingling in extremities
Hypertension,None,Often asymptomatic;Headache;Dizziness;Nosebleeds in severe cases;Vision changes
Heart Disease (Ischemic),None,Chest pain (angina);Shortness of breath;Fatigue;Palpitations;Sweating
Myocardial Infarction,None,Severe chest pain;Radiating arm/jaw pain;Shortness of breath;Nausea;Cold sweat
Stroke (Ischemic/Hemorrhagic),None,Sudden numbness (face/arm/leg);Confusion;Trouble speaking;Vision problems;Severe headache
Pulmonary Embolism,None,Acute shortness of breath;Pleuritic chest pain;Cough;Hemoptysis;Tachycardia
Pneumothorax,None,Sudden unilateral chest pain;Shortness of breath;Reduced breath sounds
Sepsis,None,Fever;Rapid heart rate;Rapid breathing;Confusion;Low urine output;Hypotension
